DATAFLOW,LAST UPDATE,freq,s_adj,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,2025-03,48,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,2025-04,47,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,2025-05,47,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,2025-06,48,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,2025-07,49,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Bulgaria,2025-08,47,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2024-10,115,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2024-11,115,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2024-12,114,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2025-01,107,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2025-02,105,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2025-03,109,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2025-04,118,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2025-05,120,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Switzerland,2025-06,118,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,2024-10,12,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,2024-11,12,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,2024-12,13,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,2025-01,13,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,2025-02,13,,
ESTAT:TEILM010(1.0),16/10/25 11:00:00,Monthly,"Seasonally adjusted data, not calendar adjusted data",Total,Females,Thousand persons,Cyprus,2025-03,13,,
